Date,Open,High,Low,Close,Volume
1-Feb-07,42.53,42.69,42.42,42.54,674200
2-Feb-07,42.56,43.15,42.42,43.03,994900
5-Feb-07,42.9,43.16,42.73,43.15,1060900
6-Feb-07,43.25,43.29,42.72,43.23,641700
7-Feb-07,43.8,45.8,43.1,45.2,2378600
8-Feb-07,45.05,45.29,44.8,45.02,1249200
9-Feb-07,45.02,45.75,44.98,45.4,1661000
12-Feb-07,45.5,45.68,44.92,45.14,1521070
13-Feb-07,45.3,45.4,44.99,45.22,822415
14-Feb-07,45.4,47,45.35,46.75,2522044
15-Feb-07,46.75,47.25,46.45,47,1142700
16-Feb-07,47,47.63,46.89,47.55,1864000
20-Feb-07,47.55,47.75,47.27,47.55,1186200
21-Feb-07,47.55,47.38,46.87,46.97,1021700
22-Feb-07,47.15,47.3,46.65,47,659300
23-Feb-07,46.98,47.18,46.82,47.04,472800
26-Feb-07,47.29,47.32,46.53,46.79,505742
27-Feb-07,46.55,46.61,45.08,45.29,1142200
28-Feb-07,45.29,45.99,45.24,45.92,1970600
1-Mar-07,45.5,46.63,44.76,46.29,1828104
2-Mar-07,46.05,46.23,45.26,45.36,1151600
5-Mar-07,44.55,45.33,44.29,44.51,1025200
6-Mar-07,44.7,45.96,44.63,45.94,1472600
7-Mar-07,45.94,45.9,45.25,45.5,1059600
8-Mar-07,45.93,46,45.41,45.55,743000
9-Mar-07,45.75,45.88,44.95,45.3,749100
12-Mar-07,45.25,45.7,44.93,45.54,486500
13-Mar-07,45.29,45.29,44.28,44.32,1624500
14-Mar-07,44.57,44.57,43.31,44.13,1687000
15-Mar-07,44.13,44.38,43.97,44.08,994400
16-Mar-07,44,44.18,43.55,43.58,1210000
19-Mar-07,43.83,44.11,43.61,43.81,1570300
20-Mar-07,43.85,44.07,43.74,43.8,832500
21-Mar-07,43.95,44.3,43.78,44.18,1173200
22-Mar-07,44.2,44.4,43.85,44.04,1282400
23-Mar-07,43.96,44.25,43.85,43.89,627545
26-Mar-07,43.98,44.55,43.51,44.55,918400
27-Mar-07,44.34,46.6,44.34,45.81,2760600
28-Mar-07,45.81,46.6,45.13,45.63,1606289
29-Mar-07,44.8,45.88,44.8,45.5,884700
30-Mar-07,45.4,45.6,44.85,45.46,1033200
2-Apr-07,46.5,47.57,45.64,47.35,1859900
3-Apr-07,47.4,47.95,47.25,47.46,1030500
4-Apr-07,47.46,47.73,47.4,47.65,819500
5-Apr-07,47.6,47.94,47.53,47.88,717400
9-Apr-07,47.87,47.97,47.37,47.71,572400
10-Apr-07,47.52,48,47.47,48,511508
11-Apr-07,47.9,48.36,47.76,47.84,1657200
