Date,Open,High,Low,Close,Volume
1-Feb-12,28.53,28.78,28.47,28.7,2081799
2-Feb-12,28.82,28.83,28.66,28.75,1842866
3-Feb-12,29,29.4,28.96,29.4,2422443
6-Feb-12,29.15,29.32,29.06,29.26,1169442
7-Feb-12,29.06,29.06,28.86,28.9,1679054
8-Feb-12,28.94,29.02,28.69,28.82,2356292
9-Feb-12,28.95,28.97,28.66,28.77,1996181
10-Feb-12,28.6,28.68,28.52,28.65,1593085
13-Feb-12,28.82,29.08,28.64,29,2430288
14-Feb-12,29.66,31.3,29.66,31.04,4460499
15-Feb-12,31.42,31.97,31.29,31.44,3122770
16-Feb-12,31.44,31.51,31.15,31.16,1777134
17-Feb-12,31.29,31.3,30.5,30.7,3428087
21-Feb-12,30.8,30.89,30.57,30.77,2022963
22-Feb-12,30.59,30.96,30.59,30.73,2328688
23-Feb-12,30.72,31.18,30.65,31.11,3070039
24-Feb-12,31.08,31.22,30.98,31.07,1531245
27-Feb-12,30.87,31.41,30.7,31.22,1552110
28-Feb-12,31.26,31.63,31.05,31.48,2001559
29-Feb-12,31.47,31.79,31.3,31.73,2408946
1-Mar-12,31.8,31.98,31.73,31.93,2382155
2-Mar-12,31.87,31.87,31.17,31.19,1181211
5-Mar-12,31.25,31.5,31.2,31.44,1382063
6-Mar-12,31.2,31.46,30.97,31.08,1218323
7-Mar-12,31.19,31.52,31.06,31.42,1323439
8-Mar-12,31.72,31.8,31.48,31.7,1211429
9-Mar-12,31.83,31.9,31.59,31.68,1038641
12-Mar-12,31.68,31.93,31.55,31.78,1183782
13-Mar-12,31.97,32.07,31.77,32.07,2061926
14-Mar-12,31.98,32.29,31.84,32.22,1249841
15-Mar-12,32.22,33,32.14,32.83,2401111
16-Mar-12,32.94,33.06,32.73,33,3807459
19-Mar-12,32.88,32.97,32.75,32.88,1343253
20-Mar-12,32.64,32.97,32.45,32.88,1789689
21-Mar-12,32.75,33.02,32.67,32.88,1487962
22-Mar-12,32.63,33.04,32.54,32.94,1226800
23-Mar-12,32.91,33.04,32.65,32.96,1093163
26-Mar-12,33.17,33.36,33.04,33.35,1623054
27-Mar-12,33.43,33.43,33.08,33.15,1018137
28-Mar-12,33.15,33.19,32.76,33.05,1433612
29-Mar-12,32.78,33.24,32.78,33.05,1617629
30-Mar-12,33.4,33.44,32.93,33.12,1987774
2-Apr-12,32.98,33.92,32.85,33.57,2569926
3-Apr-12,33.57,33.67,33.01,33.23,1369291
4-Apr-12,33.03,33.07,32.52,32.54,1692918
5-Apr-12,32.43,32.67,32.42,32.58,1924803
9-Apr-12,32.18,32.36,32.04,32.21,1504558
