FCP,Date,Open,High,Low,Close,Volume,TCP-PCP,PCP,PHP,PLP,POP,5D SMA PCP,6D SMA PCP,10D SMA PCP,20D SMA PCP,50D SMA PCP,200D SMA PCP,5D EMA PCP,6D EMA PCP,10D EMA PCP,20D EMA PCP,50D EMA PCP,200D EMA PCP,5D TMA PCP,6D TMA PCP,10D TMA PCP,20D TMA PCP,50D TMA PCP,200D TMA PCP,ADL,MACD,5D ACC PCP,6D ACC PCP,10D ACC PCP,20D ACC PCP,50D ACC PCP,200D ACC PCP,5D MOM PCP, 6D MOM PCP, 10D MOM PCP, 20D MOM PCP, 50D MOM PCP, 200D MOM PCP,Chaikin Volatility,Fast Stochastic%K,Fast Stochastic%D,Slow Stochastic%K,Slow Stochastic%D,William's %R,Relative Strength Index,Bollinger Middle Band,Bollinger Higher Band,Bollinger Lower Band,5D HH,6D HH,10D HH,20D HH,50D HH,200D HH,5D LL,6D LL,10D LL,20D LL,50D LL,200D LL
0,20071115.00,43.10,43.78,42.98,43.24,1213545.00,-0.12,43.36,43.89,43.19,43.19,43.00,42.75,42.98,44.56,45.23,48.52,43.00,42.75,42.98,44.56,45.23,48.52,43.26,43.17,43.04,43.47,44.51,47.31,-424740.75,-1.78,0.29,0.29,-0.04,-0.18,-0.03,0.00,3.49,4.19,-1.01,-7.51,-3.74,0.49,0.46,48.95,49.28,49.28,40.49,-51.05,34.18,44.56,48.05,41.06,43.89,43.89,45.16,48.49,48.49,57.80,40.93,40.44,40.44,40.44,40.44,40.44
0,20071116.00,43.44,43.69,42.61,42.97,2231270.00,-0.27,43.24,43.78,42.98,42.98,43.24,43.00,42.91,44.37,45.19,48.52,42.99,42.81,42.98,44.40,45.14,48.46,43.17,43.14,43.01,43.35,44.41,47.24,-1168497.42,3.57,0.01,0.20,-0.07,-0.21,-0.03,-0.00,0.16,2.85,-1.54,-8.73,-3.85,-0.42,135158.46,44.23,48.08,48.08,44.78,-55.77,33.70,44.37,47.77,40.96,43.89,43.89,43.97,48.49,48.49,57.80,42.61,40.93,40.44,40.44,40.44,40.44
0,20071119.00,43.00,44.11,42.45,42.79,1784684.00,-0.18,42.97,43.69,42.61,42.61,43.22,43.16,42.83,44.15,45.15,48.51,42.92,42.81,42.95,44.25,45.05,48.41,43.00,43.02,42.94,43.23,44.30,47.16,-2222106.04,3.13,-0.19,-0.02,-0.10,-0.22,-0.04,-0.00,-2.15,-0.26,-2.26,-9.15,-4.87,-1.02,371808.25,41.08,44.76,44.76,46.15,-58.92,32.59,44.15,47.39,40.92,44.11,44.11,44.11,48.49,48.49,57.80,42.45,42.45,40.44,40.44,40.44,40.44
0,20071120.00,42.77,43.19,41.75,42.50,1162685.00,-0.29,42.79,44.11,42.45,42.45,42.97,43.10,42.70,43.92,45.10,48.51,42.78,42.72,42.87,44.08,44.95,48.35,42.75,42.81,42.83,43.08,44.17,47.08,-2173660.83,3.14,-0.17,-0.20,0.03,-0.21,-0.06,-0.01,-1.98,-2.81,0.64,-8.90,-6.90,-5.97,707047.26,36.85,40.72,40.72,43.23,-63.15,31.83,43.92,46.93,40.91,44.11,44.11,44.11,48.49,48.49,57.80,41.75,41.75,40.44,40.44,40.44,40.44
1,20071121.00,42.39,42.94,41.82,42.48,1107800.00,-0.02,42.50,43.19,41.75,41.75,42.80,42.89,42.73,43.71,45.04,48.50,42.68,42.65,42.80,43.93,44.85,48.29,42.61,42.66,42.75,42.95,44.06,47.00,-1975839.41,3.14,-0.15,-0.15,0.10,-0.19,-0.07,-0.01,-1.76,-2.03,2.36,-8.09,-7.19,-5.64,691632.87,43.22,40.70,40.70,43.01,-56.78,30.60,43.71,46.51,40.92,44.11,44.11,44.11,48.49,48.49,57.80,41.75,41.75,40.44,40.44,40.44,40.44
0,20071123.00,42.68,42.93,42.24,42.89,295813.00,0.41,42.48,42.94,41.82,41.82,42.73,42.81,42.86,43.55,44.98,48.49,42.75,42.72,42.81,43.83,44.77,48.23,42.72,42.73,42.81,42.93,43.99,46.93,-1714323.57,3.17,-0.02,-0.06,0.11,-0.13,-0.07,-0.01,-0.19,-0.81,2.66,-5.84,-7.34,-5.53,628689.82,66.76,51.21,51.21,50.15,-33.24,30.51,43.55,46.11,40.98,44.11,44.11,44.11,46.72,48.49,57.80,41.75,41.75,40.93,40.44,40.44,40.44
1,20071126.00,42.81,43.62,42.49,42.52,1484031.00,-0.37,42.89,42.93,42.24,42.24,42.64,42.69,42.94,43.40,44.90,48.47,42.67,42.66,42.76,43.71,44.68,48.18,42.62,42.63,42.73,42.84,43.89,46.86,-3119556.46,3.14,-0.05,-0.07,-0.04,-0.15,-0.04,-0.01,-0.63,-1.05,-0.89,-6.57,-4.36,-5.80,545480.12,56.68,59.67,59.67,50.90,-43.32,34.64,43.40,45.82,40.97,44.11,44.11,44.11,46.16,48.49,57.80,41.75,41.75,41.75,40.44,40.44,40.44
1,20071127.00,42.66,43.26,42.37,42.96,1552768.00,0.44,42.52,43.62,42.49,42.49,42.67,42.69,42.94,43.27,44.87,48.46,42.77,42.75,42.80,43.64,44.62,48.13,42.77,42.76,42.79,42.85,43.84,46.79,-2613598.35,3.18,0.09,0.03,-0.08,-0.12,-0.04,-0.01,1.08,0.40,-1.76,-5.29,-4.68,-5.00,992599.82,68.66,64.03,64.03,59.85,-31.34,32.75,43.27,45.50,41.04,43.62,44.11,44.11,46.16,48.49,57.80,41.75,41.75,41.75,40.44,40.44,40.44
1,20071128.00,43.06,43.73,43.05,43.72,956454.00,0.76,42.96,43.26,42.37,42.37,42.91,42.84,42.94,43.19,44.85,48.45,43.09,43.03,42.96,43.64,44.58,48.08,43.21,43.15,43.04,42.99,43.85,46.76,-1685275.35,3.23,0.25,0.20,0.04,-0.12,-0.05,-0.02,2.92,2.87,0.83,-5.12,-5.16,-6.48,831613.38,89.37,71.57,71.57,71.03,-10.63,37.15,43.19,45.21,41.16,43.73,43.73,44.11,46.16,48.49,57.80,41.82,41.75,41.75,40.44,40.44,40.44
0,20071129.00,43.52,43.87,43.35,43.72,625580.00,0.00,43.72,43.73,43.05,43.05,43.16,43.05,42.98,43.07,44.80,48.44,43.30,43.22,43.10,43.65,44.55,48.04,43.46,43.39,43.22,43.09,43.85,46.71,-1420606.89,3.23,0.17,0.21,0.05,-0.06,-0.05,-0.02,1.94,2.92,1.11,-2.78,-4.94,-6.98,536237.88,87.74,81.92,81.92,74.45,-12.26,43.96,43.07,44.63,41.51,43.87,43.87,44.11,46.03,48.49,57.80,42.24,41.82,41.75,40.44,40.44,40.44
